value,date
9799.7,2015-03-08
9791.7,2015-03-09
9729.5,2015-03-10
9730.1,2015-03-11
9810.9,2015-03-14
9878.6,2015-03-15
9855.6,2015-03-16
9743.8,2015-03-17
9861.5,2015-03-18
9884.4,2015-03-25
9980.2,2015-03-28
10146.8,2015-03-29
10078.6,2015-03-30
10081.2,2015-03-31
10297.0,2015-04-04
10559.7,2015-04-05
10527.3,2015-04-06
10434.6,2015-04-07
10452.6,2015-04-08
10371.0,2015-04-11
10238.0,2015-04-12
10186.2,2015-04-13
10227.4,2015-04-14
10227.7,2015-04-15
10205.7,2015-04-18
10218.4,2015-04-19
10169.2,2015-04-20
10154.4,2015-04-21
10159.9,2015-04-22
10156.7,2015-04-25
10154.3,2015-04-26
10095.9,2015-04-27
10094.2,2015-04-28
10084.2,2015-04-29
10030.1,2015-05-03
9943.8,2015-05-04
9921.3,2015-05-05
9925.0,2015-05-06
9874.8,2015-05-09
9803.3,2015-05-10
9862.8,2015-05-11
9897.5,2015-05-12
9901.2,2015-05-13
9873.7,2015-05-17
9873.0,2015-05-18
9906.6,2015-05-19
9924.3,2015-05-20
9886.8,2015-05-23
9889.5,2015-05-24
9894.7,2015-05-25
9878.0,2015-05-26
9861.0,2015-05-27
9854.7,2015-05-30
9854.5,2015-05-31
9871.2,2015-06-01
9907.6,2015-06-02
9908.8,2015-06-06
9863.6,2015-06-07
9777.1,2015-06-08
9676.1,2015-06-09
9653.8,2015-06-10
9705.9,2015-06-13
9721.1,2015-06-14
9671.6,2015-06-15
9688.0,2015-06-16
9802.9,2015-06-17
9774.3,2015-06-20
9766.1,2015-06-21
9827.3,2015-06-22
9894.8,2015-06-23
9892.1,2015-06-24
9884.5,2015-06-27
9815.3,2015-06-28
9826.7,2015-06-29
9923.6,2015-06-30
9915.3,2015-07-01
10015.5,2015-07-04
10022.4,2015-07-05
10086.8,2015-07-06
10207.3,2015-07-07
10228.1,2015-07-11
10340.2,2015-07-12
10552.8,2015-07-13
10606.1,2015-07-14
10509.5,2015-07-15
10509.5,2015-07-19
10427.6,2015-07-20
10416.8,2015-07-21
10353.8,2015-07-22
10252.3,2015-07-25
10241.7,2015-07-26
10182.9,2015-07-27
10207.1,2015-07-28
10248.6,2015-07-29
10259.5,2015-08-01
10228.3,2015-08-02
10229.1,2015-08-03
10216.8,2015-08-04
10230.3,2015-08-05
10177.3,2015-08-08
10172.6,2015-08-09
10166.9,2015-08-10
10114.6,2015-08-12
10075.9,2015-08-15
10070.2,2015-08-16
10040.6,2015-08-17
9991.3,2015-08-18
9984.6,2015-08-19
9991.5,2015-08-22
9944.1,2015-08-23
9919.9,2015-08-24
9836.6,2015-08-25
9816.6,2015-08-26
9857.4,2015-08-29
9857.1,2015-08-30
9840.9,2015-08-31
9846.8,2015-09-01
9851.5,2015-09-02
9904.3,2015-09-05
9906.1,2015-09-06
9909.8,2015-09-07
9927.6,2015-09-08
9921.9,2015-09-09
9892.9,2015-09-12
9813.4,2015-09-13
9809.7,2015-09-14
9748.0,2015-09-15
9729.3,2015-09-16
9715.2,2015-09-19
9599.9,2015-09-20
9518.2,2015-09-21
9549.0,2015-09-22
9585.7,2015-09-23
9577.4,2015-09-26
9583.4,2015-09-27
9605.4,2015-09-28
9604.8,2015-09-29
9573.8,2015-09-30
9504.7,2015-10-03
9475.6,2015-10-04
9489.8,2015-10-05
9451.3,2015-10-06
9466.8,2015-10-07
9457.0,2015-10-10
9456.0,2015-10-11
9495.0,2015-10-12
9545.8,2015-10-13
9625.7,2015-10-14
9739.8,2015-10-17
9766.0,2015-10-18
9733.9,2015-10-19
9713.1,2015-10-20
9690.3,2015-10-21
9643.1,2015-10-25
9631.9,2015-10-26
9640.9,2015-10-27
9644.7,2015-10-28
9655.3,2015-10-31
9684.0,2015-11-01
9691.1,2015-11-02
9695.5,2015-11-03
9723.0,2015-11-04
9713.9,2015-11-07
9699.1,2015-11-08
9718.7,2015-11-09
9728.8,2015-11-10
9748.6,2015-11-11
9780.4,2015-11-14
9825.3,2015-11-15
9827.0,2015-11-16
9804.7,2015-11-17
9816.0,2015-11-18
9825.5,2015-11-21
9816.8,2015-11-22
9801.8,2015-11-23
9785.2,2015-11-24
9776.3,2015-11-25
9768.3,2015-11-28
9756.2,2015-11-29
9749.6,2015-11-30
9724.6,2015-12-01
9728.8,2015-12-05
9679.5,2015-12-06
9642.5,2015-12-07
9631.1,2015-12-08
9638.7,2015-12-09
9624.7,2015-12-13
9610.9,2015-12-14
9625.0,2015-12-15
9612.0,2015-12-16
9515.4,2015-12-19
9459.9,2015-12-20
9445.8,2015-12-21
9445.1,2015-12-22
9467.5,2015-12-23
9485.4,2015-12-26
9560.0,2015-12-27
9596.3,2015-12-28
9651.6,2015-12-30
9682.6,2016-01-02
9743.7,2016-01-03
9843.6,2016-01-04
9994.4,2016-01-05
10086.7,2016-01-06
10078.4,2016-01-09
10087.5,2016-01-10
10197.2,2016-01-11
10225.4,2016-01-12
10275.1,2016-01-13
10423.7,2016-01-16
10397.1,2016-01-17
10310.9,2016-01-18
10472.9,2016-01-19
10598.7,2016-01-20
10761.4,2016-01-23
10935.9,2016-01-24
11112.2,2016-01-25
11408.3,2016-01-26
11413.3,2016-01-27
11393.3,2016-01-30
11383.3,2016-01-31
11612.2,2016-02-01
11807.7,2016-02-02
11900.8,2016-02-03
12102.5,2016-02-06
12324.2,2016-02-07
12562.3,2016-02-08
12901.8,2016-02-09
12865.4,2016-02-10
12699.4,2016-02-13
12648.0,2016-02-14
12838.6,2016-02-15
12828.0,2016-02-16
12903.4,2016-02-17
12882.3,2016-02-20
12752.3,2016-02-21
12863.5,2016-02-22
12793.7,2016-02-23
12745.6,2016-02-24
12844.8,2016-02-27
12804.6,2016-02-28
12811.9,2016-02-29
12831.9,2016-03-01
12833.5,2016-03-02
12913.4,2016-03-05
12945.7,2016-03-06
12937.1,2016-03-07
12894.7,2016-03-08
12919.6,2016-03-09
13020.3,2016-03-12
13140.6,2016-03-14
13191.9,2016-03-15
13356.7,2016-03-16
13450.1,2016-03-26
13462.3,2016-03-27
13473.0,2016-03-28
13470.0,2016-03-29
13598.9,2016-03-30
13600.1,2016-04-02
13538.9,2016-04-03
13624.3,2016-04-04
13739.3,2016-04-05
13801.2,2016-04-06
13802.0,2016-04-09
13813.3,2016-04-10
13850.8,2016-04-11
13819.9,2016-04-12
13652.1,2016-04-13
13375.4,2016-04-16
13266.1,2016-04-17
13443.4,2016-04-18
13430.4,2016-04-19
13421.7,2016-04-20
13459.6,2016-04-23
13535.8,2016-04-24
13617.7,2016-04-25
13621.3,2016-04-26
13686.6,2016-04-27
13714.9,2016-04-30
13726.9,2016-05-01
13742.3,2016-05-02
13767.8,2016-05-03
13807.2,2016-05-04
13773.5,2016-05-07
13721.8,2016-05-08
13736.8,2016-05-09
13717.1,2016-05-10
13602.7,2016-05-11
13646.0,2016-05-14
13592.9,2016-05-15
13616.5,2016-05-16
13707.7,2016-05-17
13740.8,2016-05-18
13792.5,2016-05-21
13838.4,2016-05-23
13871.1,2016-05-24
13887.3,2016-05-25
13889.9,2016-05-28
13861.4,2016-05-29
13832.4,2016-05-30
13765.3,2016-05-31
13779.4,2016-06-01
13838.8,2016-06-05
13872.4,2016-06-06
13858.8,2016-06-07
13795.4,2016-06-08
13638.4,2016-06-11
13550.4,2016-06-12
13576.9,2016-06-13
13468.7,2016-06-14
13502.1,2016-06-15
13504.6,2016-06-18
13413.5,2016-06-19
13354.9,2016-06-20
13400.8,2016-06-21
13599.6,2016-06-22
13588.5,2016-06-25
13635.4,2016-06-26
13774.7,2016-06-28
13743.3,2016-06-29
13743.4,2016-07-02
13756.6,2016-07-03
13714.7,2016-07-04
13736.2,2016-07-05
13711.2,2016-07-09
13683.6,2016-07-10
13684.2,2016-07-11
13625.1,2016-07-12
13642.4,2016-07-13
13658.7,2016-07-16
13689.8,2016-07-17
13685.1,2016-07-18
13752.0,2016-07-19
13831.8,2016-07-20
13900.8,2016-07-23
13934.1,2016-07-24
13945.4,2016-07-25
13973.6,2016-07-26
14058.9,2016-07-27
14083.0,2016-07-31
14082.5,2016-08-01
14145.4,2016-08-02
14255.5,2016-08-03
14325.8,2016-08-06
14387.3,2016-08-07
14378.5,2016-08-08
14385.7,2016-08-09
14420.5,2016-08-10
14446.1,2016-08-13
14461.4,2016-08-14
14447.2,2016-08-15
14430.1,2016-08-16
14458.8,2016-08-17
14525.1,2016-08-20
14524.1,2016-08-21
14537.6,2016-08-22
14494.0,2016-08-23
14474.7,2016-08-24
14464.5,2016-08-27
14394.4,2016-08-28
14375.3,2016-08-29
14396.9,2016-08-30
14370.4,2016-08-31
14306.7,2016-09-03
14249.4,2016-09-04
14249.3,2016-09-05
14313.5,2016-09-06
14384.7,2016-09-07
14351.3,2016-09-10
14368.4,2016-09-11
14431.4,2016-09-13
14451.6,2016-09-14
14455.6,2016-09-17
14533.3,2016-09-18
14562.4,2016-09-19
14625.0,2016-09-21
14774.1,2016-09-24
14796.7,2016-09-25
14883.2,2016-09-26
14990.4,2016-09-27
15060.0,2016-09-28
